Resorts (532 Found),Avg User Rating,"Family /
Adults Only",Direct USD 2026,Direct CAD 2026,Value Ratio,AAA,Forbes,Hotel Class,Hyatt,Northstar,Deal Breakers?,Country,Area,Airport,Direct Flight,To / From Airport,Hotel Brand,Hotel Style,Amenities,Special Room Options,"Food, Beach, Party","Guaranteed
Connecting Rooms",Beds,"High
Rise",# of Rooms,Year Built,Year Renovated,Floors
Surf Synergy (Alcohol not included),97.3,Family,"$15,129.16","$21,110.55",1.14,,,3,,NYR,Alcohol not included,Costa Rica,Jaco,San Jose Juan Santamaria,TRUE,1h 31m,,"Family, Romantic","Yoga Classes, Diving, Horseback Riding, Fishing, Bicycles Available, Hiking, Watersports Equipment Rentals, Pets Allowed, Wi-Fi Free","Villas, Plunge Pool Rooms",,,2 Queen,FALSE,14,2020,2024,3
"Calabash Hotel (Jan 5 to Mar 15 12+ Allowed, Mar 16 to Dec 20 6+ Allowed, Dec 21 to Jan 4 No age limit)",97.3,Family,"$15,750.00","$21,976.84",1.10,4,,5,,9,"Can't Book Kids Online, Max 3 per Room",Grenada,Lance aux Epines,Point Saline,FALSE,0h 8m,,"Quiet, Modern","Beach, Gym, Diving, Babysitting, Tennis, Snorkelling, Yoga Classes, Room Service, Wi-Fi Free","Villas, Plunge Pool Rooms",,Can Request,1 King or 2 Twin,FALSE,30,1960,2022,2
Ambergris Cay Private Island All Inclusive,97.3,Family,"$33,124.00","$46,219.74",0.52,,,5,,NYR,,Turks and Caicos,Big Ambergris Cay,Providenciales,TRUE,,,"Business, Romantic","Gym, Bicycles Available, Hiking, Snorkelling, Watersports Equipment Rentals, Evening Entertainment, Yoga Classes, Heated Pool, Room Service, Tennis, Windsurfing, Fishing, Babysitting, Spa, Beach, Kids Club, Wi-Fi Free","Villas, Plunge Pool Rooms, Beach Front Rooms",,,1 King and 1 Sofa Bed,FALSE,18,2019,,
The Caves,97.0,Adults Only,"$5,677.00","$7,921.43",2.99,NYR,,4,,9,,Jamaica,Negril,Sangster,TRUE,1h 37m,,"Hidden Gem, Quiet","Yoga Classes, Snorkelling, Watersports Equipment Rentals, Fishing, Diving, Spa, Evening Entertainment, Wi-Fi Free",Villas,,,1 Queen,FALSE,12,1996,2008,2
Hammock Cove Antigua,97.0,Adults Only,"$11,247.60","$15,694.39",1.51,,,5,,7,,Antigua,Antigua,V.C. Bird,TRUE,0h 31m,,"Romantic, Boutique","Beach, Gym, Diving, Spa, Snorkelling, Fishing, Hiking, Watersports Equipment Rentals, Yoga Classes, Room Service, Wi-Fi Free","Villas, Plunge Pool Rooms",,,1 King,FALSE,42,2019,,1
East Winds Saint Lucia,97.0,Family,"$11,338.25","$15,820.88",1.50,,,4,,7,Max 3 per Room,Saint Lucia,Gros Islet,George F. L. Charles,FALSE,0h 15m,,"Quiet, Romantic","Yoga Classes, Swim Up Bar, Hiking, Snorkelling, Fishing, Spa, Beach, Buffet, Diving, Horseback Riding, Evening Entertainment, Wi-Fi Free","Villas, Beach Front Rooms",,,1 King,FALSE,30,1967,2017,1
Trobbu Boutique Collection Tulum - All Inclusive,97.0,Family,"$14,504.84","$20,239.40",1.17,,,5,,,,Mexico,Tulum,Tulum,TRUE,0h 37m,,,"Gym, Pets Allowed, Yoga Classes","Villas, Plunge Pool Rooms",,,3 Bedrooms,FALSE,10,2025,,
Beloved Playa Mujeres (Couples only),96.7,Adults Only,"$5,285.00","$7,374.45",3.16,4,,5,,9,Couples Only,Mexico,Playa Mujeres,Cancun,TRUE,0h 36m,The Excellence Collection,"Quiet, Romantic","Beach, Heated Pool, Gym, Diving, Spa, Swim Up Bar, Snorkelling, Room Service, Buffet, Wi-Fi Free","Plunge Pool Rooms, Beach Front Rooms, Swim Up Rooms",Great Food,,1 King and 1 Sofa Bed or 2 Twin and 1 Sofa Bed,FALSE,109,2009,,4
Small Hope Bay Lodge (No TV),96.7,Family,"$8,855.00","$12,355.87",1.89,,,3,,3,No TV,Bahamas,Andros,Lynden Pindling,TRUE,,,"Family, Mid-Range","Beach, Babysitting, Diving, Fishing, Bicycles Available, Snorkelling, Pets Allowed, Buffet, Wi-Fi Free","Villas, Beach Front Rooms",,,1 King and 3 Twin,FALSE,21,1960,2013,1
Palafitos Overwater Bungalows,96.7,Adults Only,"$12,755.00","$17,797.75",1.31,NYR,Coming Soon,5,,NYR,,Mexico,Playa del Carmen,Cancun,TRUE,0h 38m,Lomas Hospitality,"Romantic, Ocean View","Beach, Gym, Spa, Nightclub, Room Service, Wi-Fi Free","Villas, Over Water Rooms",,,1 King,FALSE,30,2016,,1
Palmaïa The House of AïA All Inclusive Wellness Resort (Vegan),96.7,Family,"$13,139.84","$18,334.74",1.27,,,5,,9,Vegan,Mexico,Playa del Carmen,Cancun,TRUE,1h 0m,,"Charming, Ocean View","Beach, Kids Club, Gym, Swim Up Bar, Spa, Babysitting, Diving, Bicycles Available, Snorkelling, Yoga Classes, Room Service, Wi-Fi Free","2 Bedroom Suites, Beach Front Rooms",,,1 King and 1 Bunk Bed,FALSE,234,2019,,4
Drake Bay Getaway Resort by Sandglass (Alcohol not included),96.5,Family,"$6,188.00","$8,634.46",2.67,,4,3,,,Alcohol not included,Costa Rica,Drake Bay,San Jose Juan Santamaria,TRUE,6h 4m,,"Modern, Boutique","Beach, Diving, Horseback Riding, Hiking, Snorkelling, Fishing, Wi-Fi Free",Villas,,,1 King and 1 Queen,FALSE,5,2014,,2
La Casa de La Playa (16+ Allowed),96.5,Adults Only,"$21,240.00","$29,637.34",0.78,5,,5,,NYR,16+ Allowed,Mexico,Playa del Carmen,Cancun,TRUE,0h 59m,Hoteles Xcaret,"Luxury, Boutique","Beach, Gym, Swim Up Bar, Spa, Bicycles Available, Pets Allowed, Snorkelling, Yoga Classes, Room Service, Wi-Fi Free","Plunge Pool Rooms, Beach Front Rooms",Great Food,,1 King,FALSE,63,2021,,
Jumby Bay Island - An Oetker Collection Hotel,96.5,Family,"$49,086.00","$68,492.40",0.34,5,5,,,9,,Antigua,Long Island,V.C. Bird,TRUE,0h 17m,Oetker Collection,"Quiet, Family","Beach, Kids Club, Babysitting, Snorkelling, Spa, Gym, Bicycles Available, Fishing, Tennis, Buffet, Wi-Fi Free","2 Bedroom Suites, Villas, Plunge Pool Rooms",Great Food,,1 King and 1 Sofa Bed,FALSE,42,1984,2018,1
The Cliff Hotel,96.3,Family,"$10,531.00","$14,694.48",1.55,,,4.5,,8,,Jamaica,West End,Sangster,TRUE,1h 37m,,"Quiet, Modern","Gym, Yoga Classes, Swim Up Bar, Snorkelling, Babysitting, Room Service, Spa, Wi-Fi Free",Villas,,,2 Double,FALSE,26,2008,2019,2
Jade Mountain Resort,96.3,Adults Only,"$18,432.00","$25,719.18",0.88,5,4,5,,9,,Saint Lucia,Soufriere,George F. L. Charles,FALSE,1h 27m,,"Luxury, Modern","Beach, Gym, Diving, Tennis, Snorkelling, Spa, Room Service, Wi-Fi Free",Plunge Pool Rooms,Great Food,,1 King,FALSE,20,2006,2023,4
Unico Hotel Riviera Nayarit,96.0,Adults Only,"$5,557.00","$7,753.99",2.88,,,,,,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 17m,Legendary Vacation Club,,"Gym, Bicycles Available, Room Service, Beach, Buffet, Swim Up Bar, Wi-Fi Free","Swim Up Rooms, 2 Bedroom Suites",Great Food,,1 King or 2 King,FALSE,141,2025,,
Hyatt Zilara Cap Cana,96.0,Adults Only,"$7,718.00","$10,769.35",2.07,4,,5,F,7,,Dominican Republic,Cap Cana,Punta Cana,TRUE,0h 16m,Hyatt,"Modern, Business","Beach, Heated Pool, Gym, Yoga Classes, Swim Up Bar, Spa, Room Service, Nightclub, Evening Entertainment, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,Great Food,,1 King or 2 Queen,TRUE,375,2019,,8
Grand Velas Riviera Nayarit,96.0,Family,"$11,004.00","$15,354.49",1.45,5,4,5,,9,,Mexico,Nuevo Vallarta,Ordaz,TRUE,0h 18m,Velas Resorts,"Business, Romantic","Beach, Kids Club, Teen Club, Heated Pool, Gym, Bicycles Available, Swim Up Bar, Diving, Nightclub, Spa, Babysitting, Room Service, Tennis, Evening Entertainment, Buffet, Wi-Fi Paid","2 Bedroom Suites, Family Suite, Plunge Pool Rooms",Great Food,,1 King or 2 Queen,TRUE,267,2002,2016,9
Grand Velas Riviera Maya,96.0,Family,"$12,138.00","$16,936.82",1.32,5,4,5,,9,,Mexico,Playa del Carmen,Cancun,TRUE,0h 42m,Velas Resorts,"Family, Family Resort","Beach, Kids Club, Teen Club, Heated Pool, Gym, Diving, Spa, Babysitting, Swim Up Bar, Fishing, Room Service, Evening Entertainment, Buffet, Wi-Fi Free","2 Bedroom Suites, Family Suite, Plunge Pool Rooms",Great Food,,1 King or 2 Queen,FALSE,539,2008,2021,4
Guana Island,96.0,Family,"$18,956.70","$26,451.33",0.84,,,4,,7,Max 3 per Room,British Virgin Islands,Guana Island,Beef Island,FALSE,,,"Quiet, Family","Beach, Tennis, Snorkelling, Buffet, Wi-Fi Paid","Plunge Pool Rooms, Villas",,Can't Book Two Rooms,1 King,FALSE,18,1930,2011,1
Spice Island Beach Resort,96.0,Family,"$20,160.00","$28,130.36",0.79,5,,5,,9,,Grenada,Grand Anse,Point Saline,FALSE,0h 10m,,"Quiet, Modern","Beach, Kids Club, Gym, Bicycles Available, Room Service, Tennis, Spa, Babysitting, Diving, Pets Allowed, Buffet, Wi-Fi Free","Beach Front Rooms, Plunge Pool Rooms",,,1 King or 2 Queen,FALSE,64,1961,2023,2
Excellence Riviera Cancun,95.7,Adults Only,"$4,674.00","$6,521.89",3.36,4,,5,,9,,Mexico,Puerto Morelos,Cancun,TRUE,0h 23m,The Excellence Collection,"Quiet, Value","Beach, Heated Pool, Gym, Diving, Room Service, Tennis, Nightclub, Lazy River, Swim Up Bar, Snorkelling, Fishing, Evening Entertainment, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free","Swim Up Rooms, Plunge Pool Rooms",Great Food,,1 King,FALSE,440,2004,2015,4
JOIA Bávaro By Iberostar,95.7,Adults Only,"$5,195.42","$7,249.46",3.02,4,,5,,9,,Dominican Republic,Bavaro,Punta Cana,TRUE,0h 25m,IHG,"Quiet, Value","Beach, Gym, Diving, Tennis, Fishing, Nightclub, Spa, Room Service, Swim Up Bar, Golf Course, Evening Entertainment, Buffet",Swim Up Rooms,Great Food,,1 King or 2 Double,FALSE,274,2009,,
JOIA Paraiso by Iberostar,95.7,Adults Only,"$5,764.97","$8,044.18",2.72,4,,5,,9,,Mexico,Playa Paraiso,Cancun,TRUE,0h 32m,IHG,"Quiet, Business","Beach, Gym, Diving, Swim Up Bar, Golf Course, Spa, Tennis, Evening Entertainment, Buffet, Wi-Fi Free","Plunge Pool Rooms, Beach Front Rooms",,,1 King or 2 Double,FALSE,310,2007,,3
The Beachfront By The Fives Hotels,95.7,Adults Only,"$6,161.00","$8,596.78",2.55,,,2,,NYR,,Mexico,Playa del Carmen,Cancun,TRUE,0h 44m,The Fives Hotels,"Bay View, Ocean View","Beach, Gym, Spa, Snorkelling, Room Service, Wi-Fi Free","Plunge Pool Rooms, Beach Front Rooms",,,1 King,FALSE,50,2023,,3
Cayo Levantado Resort,95.7,Family,"$12,789.00","$17,845.20",1.23,,4,5,,NYR,,Dominican Republic,Cayo Levantado,Samaná El Catey,TRUE,1h 7m,,"Modern, Business","Beach, Gym, Tennis, Room Service, Spa, Evening Entertainment, Buffet, Wi-Fi Free","Plunge Pool Rooms, Villas, Adults Only Rooms, Beach Front Rooms",,,1 King and 2 Full,FALSE,219,2006,2022,4
Casa Velas,95.5,Adults Only,"$5,350.80","$7,466.27",2.90,4,4,4,,8,,Mexico,Puerto Vallarta,Ordaz,TRUE,0h 6m,Velas Resorts,"Romantic, Quiet","Beach, Heated Pool, Gym, Room Service, Swim Up Bar, Golf Course, Spa, Evening Entertainment, Wi-Fi Free","Plunge Pool Rooms, 2 Bedroom Suites",,,1 King or 2 Double,FALSE,80,,2015,4
"Pine Cay Turks And Caicos (13+ Allowed, Alcohol not included)",95.5,Adults Only,"$20,002.50","$27,910.59",0.77,,,5,,,"Max 2 per Room, Alcohol not included, 13+ Allowed",Turks and Caicos,Pine Cay,Providenciales,TRUE,,,"Quiet, Modern","Bicycles Available, Room Service, Hiking, Tennis, Fishing, Beach, Diving, Snorkelling, Watersports Equipment Rentals, Spa, Wi-Fi Free","Villas, Plunge Pool Rooms, Beach Front Rooms",,,1 King,FALSE,13,1970,2021,
Hermitage Bay (14+ Allowed),95.5,Adults Only,"$40,964.00","$57,159.32",0.38,,,5,,9,14+ Allowed,Antigua,Saint Mary's,V.C. Bird,TRUE,0h 30m,Hilton,"Romantic, Quiet","Beach, Gym, Yoga Classes, Room Service, Diving, Horseback Riding, Windsurfing, Fishing, Hiking, Snorkelling, Spa, Evening Entertainment, Wi-Fi Free","Plunge Pool Rooms, Villas, Beach Front Rooms",,,1 King,FALSE,30,2006,2013,
Excellence Playa Mujeres,95.3,Adults Only,"$5,344.00","$7,456.78",2.86,4,,5,,9,,Mexico,Playa Mujeres,Cancun,TRUE,0h 36m,The Excellence Collection,"Luxury, Quiet","Beach, Heated Pool, Gym, Diving, Lazy River, Snorkelling, Swim Up Bar, Tennis, Nightclub, Spa, Room Service, Evening Entertainment, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free","Plunge Pool Rooms, Swim Up Rooms",Great Food,,1 King or 2 Double,FALSE,450,2007,,5
Keyonna Beach,95.3,Adults Only,"$5,805.80","$8,101.15",2.64,,,3,,4,,Antigua,Turners Beach,V.C. Bird,TRUE,0h 31m,,"Quiet, Romantic","Beach, Yoga Classes, Snorkelling, Room Service, Evening Entertainment, Restaurants Don't Require Reservations, Wi-Fi Free","Plunge Pool Rooms, Villas, Beach Front Rooms",,,1 King,FALSE,24,2013,,2
Sugar Mill Hotel,95.3,Adults Only,"$6,495.00","$9,062.83",2.36,,,,,7,,British Virgin Islands,Tortola,Beef Island,FALSE,0h 41m,,"Quiet, Romantic","Beach, Fishing, Diving, Spa, Snorkelling",Villas,,,1 King or 2 Twin,FALSE,24,1640,2018,2
Secrets Maroma Beach Riviera Cancun,95.3,Adults Only,"$8,057.00","$11,242.38",1.90,5,,5,E,9,,Mexico,Playa Maroma,Cancun,TRUE,0h 37m,Hyatt,"Green, Romantic","Beach, Gym, Diving, Swim Up Bar, Snorkelling, Spa, Room Service, Tennis, Nightclub, Evening Entertainment, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,,,1 King or 2 Queen,FALSE,412,2008,2018,4
Belizean Dreams Resort,95.3,Family,"$8,421.66","$11,751.21",1.82,,,4,,6,,Belize,Hopkins,Philip S.W. Goldson,TRUE,1h 52m,,"Ocean View, Great View","Beach, Snorkelling, Fishing, Bicycles Available, Diving, Horseback Riding, Wi-Fi Free","2 Bedroom Suites, Villas",,,2 King and 1 Futon,FALSE,54,2005,,2
Salinas Maragogi All Inclusive Resort,95.0,Family,"$3,218.54","$4,491.01",4.66,,,3,,NYR,,Brazil,Maragogi,Palmares,FALSE,1h 59m,,"Family, Trendy","Buffet, Tennis, Spa, Beach, Adult Pool, Diving, Hiking, Evening Entertainment, Kids Club",Family Suite,,,2 Double,FALSE,236,1990,,7
The Tower by Temptation Cancun Resort (Optional Topless Areas),95.0,Adults Only,"$3,688.86","$5,147.27",4.07,NYR,,4,,7,Optional Topless Areas,Mexico,Cancun,Cancun,TRUE,0h 27m,Desire,"Trendy, Charming","Beach, Gym, Windsurfing, Yoga Classes, Swim Up Bar, Nightclub, Spa, Room Service, Evening Entertainment, Buffet, Wi-Fi Free",,,,1 King,TRUE,430,1974,2017,3
Devossion by Live Aqua Playa Del Carmen,95.0,Adults Only,"$4,417.01","$6,163.30",3.40,,,5,,9,,Mexico,Playa del Carmen,Cancun,TRUE,0h 51m,Fiesta Americana Travelty,,"Beach, Spa, Room Service","Plunge Pool Rooms, Beach Front Rooms, Swim Up Rooms",,,1 King or 2 Queen,FALSE,314,2014,,5
Atelier Playa Mujeres (16+),95.0,Adults Only,"$5,650.00","$7,883.76",2.65,4,4,5,,8,16+ Allowed,Mexico,Playa Mujeres,Cancun,TRUE,0h 37m,Atelier Des Hoteles,"Modern, Trendy","Beach, Heated Pool, Gym, Bicycles Available, Room Service, Snorkelling, Spa, Pets Allowed, Swim Up Bar, Golf Course, Watersports Equipment Rentals, Nightclub, Evening Entertainment, Buffet, Wi-Fi Free",,Great Food,,1 King and 1 Sofa Bed or 2 Queen and 1 Sofa Bed,FALSE,593,2018,2022,5
"Matachica Resort and Spa (16+ Allowed, Alcohol not included)",95.0,Adults Only,"$7,645.32","$10,667.94",1.96,,,4,,7,"16+ Allowed, Alcohol not included",Belize,San Pedro,San Pedro,FALSE,0h 30m,Hilton,"Romantic, Bay View","Beach, Bicycles Available, Diving, Watersports Equipment Rentals, Fishing, Spa, Snorkelling, Wi-Fi Free","Villas, Beach Front Rooms",,,1 King,FALSE,31,1996,2007,
JOIA Aruba by Iberostar,95.0,Family,"$13,269.69","$18,515.93",1.13,,,5,,NYR,,Aruba,Palm - Eagle Beach,Reina Beatrix,TRUE,0h 21m,Iberostar,"Business, Luxury","Beach, Buffet, Golf Course, Spa, Gym, Wi-Fi Free, Adult Pool, Swim Up Bar, Nightclub",Plunge Pool Rooms,,,2 Queen,FALSE,240,2024,,5
Jamaica Inn (Alcohol not included),95.0,Adults Only,"$14,390.25","$20,079.51",1.04,4,,5,,9,Alcohol not included,Jamaica,Ochos Rios,Sangster,TRUE,1h 44m,,"Quiet, Romantic","Gym, Yoga Classes, Diving, Snorkelling, Fishing, Spa, Beach, Room Service, Horseback Riding, Watersports Equipment Rentals, Evening Entertainment, Wi-Fi Free","Beach Front Rooms, Plunge Pool Rooms, Villas",,,1 King,FALSE,55,1950,2011,2
BodyHoliday Saint Lucia (12+),95.0,Adults Only,"$15,925.00","$22,221.03",0.94,,,4,,9,12+ Allowed,Saint Lucia,Cap Estate,George F. L. Charles,FALSE,0h 27m,,"Modern, Green","Beach, Gym, Archery, Yoga Classes, Hiking, Tennis, Nightclub, Bicycles Available, Diving, Golf Course, Snorkelling, Windsurfing, Spa, Evening Entertainment, Buffet",Villas,,,1 King or 2 Queen,FALSE,155,1973,2019,4
Curtain Bluff,95.0,Family,"$23,002.88","$32,097.18",0.65,,,4,,9,,Antigua,Saint Mary's,V.C. Bird,TRUE,0h 38m,,"Classic, Family Resort","Beach, Kids Club, Gym, Diving, Tennis, Babysitting, Snorkelling, Evening Entertainment, Wi-Fi Free","Beach Front Rooms, Plunge Pool Rooms",,,1 King,FALSE,72,1962,2023,3
Hyatt Ziva Cap Cana,94.8,Family,"$9,345.00","$13,039.59",1.58,4,,5,F,8,,Dominican Republic,Cap Cana,Punta Cana,TRUE,0h 16m,Hyatt,"Business, Luxury","Beach, Kids Club, Teen Club, Lazy River, Heated Pool, Gym, Yoga Classes, Adult Pool, Swim Up Bar, Horseback Riding, Nightclub, Babysitting, Room Service, Snorkelling, Watersports Equipment Rentals, Spa, Evening Entertainment, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free, Waterpark For Little Kids, Waterpark For Big Kids","Swim Up Rooms, Plunge Pool Rooms",Great Food,Can Request,2 Queen and 1 Queen Sofa Bed,FALSE,375,2019,,8
Hotel Serendipity Tortuguero (No alcohol),94.7,Adults Only,"$1,230.28","$1,716.68",11.95,,,,,,No Alcohol,Costa Rica,Tortuguero,Tortuquero,FALSE,0h 1m,,"City View, Business","Beach, Hiking, Room Service, Fishing, Wi-Fi Free",,,,1 Queen,FALSE,6,2015,,2
Manchebo Beach Resort & Spa,94.7,Adults Only,"$7,958.56","$11,105.02",1.85,,,4,,6,,Aruba,Palm - Eagle Beach,Reina Beatrix,TRUE,0h 17m,,"Green, Ocean View","Beach, Gym, Diving, Yoga Classes, Room Service, Snorkelling, Spa, Evening Entertainment, Wi-Fi Free",Beach Front Rooms,,,1 King or 2 Twin,FALSE,72,1966,2006,2
Iberostar Coral Ensenachos,94.5,Adults Only,"$2,191.83","$3,058.38",6.62,,,5,,,,Cuba,Cayo Ensenachos,Santa Clara,TRUE,1h 33m,IHG,"Romantic, Mid-Range","Beach, Gym, Archery, Yoga Classes, Room Service, Diving, Tennis, Swim Up Bar, Snorkelling, Watersports Equipment Rentals, Spa, Evening Entertainment, Buffet, Wi-Fi Paid","Plunge Pool Rooms, 2 Bedroom Suites",,,1 King,FALSE,46,2005,2018,2
Meliá Cayo Coco ,94.5,Adults Only,"$2,205.00","$3,076.76",6.58,,,5,,7,,Cuba,Cayo Coco,Cayo Coco,TRUE,0h 13m,Melia,"Romantic, Green","Beach, Gym, Archery, Bicycles Available, Diving, Tennis, Fishing, Yoga Classes, Snorkelling, Evening Entertainment, Spa, Buffet",,,,1 King,FALSE,250,1999,,2
Secrets Akumal Riviera Maya,94.5,Adults Only,"$6,575.00","$9,174.46",2.21,5,Coming Soon,5,D,8,,Mexico,Akumal,Tulum,TRUE,1h 3m,Hyatt,"Modern, Romantic","Beach, Heated Pool, Gym, Diving, Tennis, Evening Entertainment, Spa, Swim Up Bar, Snorkelling, Nightclub, Buffet, Restaurants Don't Require Reservations, Wi-Fi Free",Swim Up Rooms,,,1 King or 2 Double,FALSE,434,2015,,5
Le Blanc Spa Resort Cancun,94.5,Adults Only,"$8,162.00","$11,388.89",1.78,5,4,5,,9,,Mexico,Cancun,Cancun,TRUE,0h 24m,Palace Resorts,"Modern, Romantic","Beach, Heated Pool, Gym, Diving, Room Service, Swim Up Bar, Nightclub, Spa, Fishing, Evening Entertainment, Buffet, Wi-Fi Free","Beach Front Rooms, 2 Bedroom Suites",Great Food,,1 King or 2 Double,TRUE,260,1987,2019,9
Galley Bay Resort & Spa,94.5,Adults Only,"$11,497.50","$16,043.09",1.26,3,,5,,7,,Antigua,Five Islands Village,V.C. Bird,TRUE,0h 24m,,"Quiet, Romantic","Beach, Gym, Bicycles Available, Yoga Classes, Tennis, Snorkelling, Fishing, Spa, Buffet, Wi-Fi Paid",Beach Front Rooms,Great Food,,1 King,FALSE,298,1962,2023,2
Ladera Resort (Contact after booking to add all inclusive package),94.5,Adults Only,"$11,974.41","$16,708.55",1.21,4,,4,,9,,Saint Lucia,Soufriere,George F. L. Charles,FALSE,1h 24m,,"Romantic, Green","Gym, Yoga Classes, Horseback Riding, Fishing, Diving, Heated Pool, Room Service, Hiking, Snorkelling, Evening Entertainment, Wi-Fi Free","Villas, Plunge Pool Rooms",,,1 King,FALSE,37,1982,2013,1
"Andaz Peninsula Papagayo Resort, Costa Rica",94.5,Family,"$13,877.88","$19,364.57",1.04,NYR,,5,,9,,Costa Rica,Gulf of Papagayo,Liberia,TRUE,0h 36m,Hyatt,"Quiet, Modern","Gym, Bicycles Available, Yoga Classes, Buffet, Hiking, Watersports Equipment Rentals, Fishing, Beach, Babysitting, Adult Pool, Diving, Snorkelling, Evening Entertainment, Kids Club, Pets Allowed, Spa, Wi-Fi Free",Villas,,,2 Queen,FALSE,153,2013,,3
